,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
-7.55393E+18,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Google releases keyboard for the iPhone with built-in search features,This Tiny Robot Lets You Play God With Huge AI,Creating a scalable API with microservices,TypeScript 2.0 is now available!,The Progress of Web Apps - On the Edge
-7.55091E+18,Governo busca empresas para aprimorar Internet das Coisas no Brasil,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Making open source data more available,Text summarization with TensorFlow,Equal Pay Day in the spotlight this year,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free"
-7.53965E+18,Inteligência artificial do Google é capaz de descrever imagens | Google Discovery,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Artificial Intelligence Software Is Booming. But Why Now?,Put a ring on it: three smart rings with plenty of beauty and brains,"STEMTera, uma protoboard com Arduino Uno embutido"
-7.53939E+18,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,NoSQL Performance Benchmarks,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Gartner Reprint
-7.52551E+18,These Are The 10 Most Purchased Brands in the World,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Por que o Walmart não é Walmart no Brasil,So you want to sell to banks?,How Coca-Cola Is Harvesting Innovation Energy From Startups,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current
-7.51837E+18,My favorite people and resources to learn Android programming from,Optimizing the Performance of Vector Drawables - upday devs,Advanced Android Espresso,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,UE não dá sossego ao Google. Novo alvo? O AdSense,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
-7.50806E+18,Cia. Hering sincroniza diferentes marcas em um único portal de compras,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Por que o Walmart não é Walmart no Brasil,Dafiti registra alto crescimento no 1º semestre de 2016,Why Introverts Are Better at Sales Than Extroverts,"Shuddle, the Uber-like service for getting your kids around, is shutting down tomorrow"
-7.49207E+18,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Swift Top 10 Articles For The Past Year (v.2017),O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,Migrating from Parse to Bluemix,Exploring Java's Hidden Costs
-7.48513E+18,Ozlo The AI Chatbot Wants To Help You Find Coffee And Food,Conversational Banking; from branches to bots. - Chatbots Magazine,"Chatbots Are Your Newest, Dumbest Co-Workers",How a Chatbot Helped This Vinyl Records Startup Make $1 Million in 8 Months,3Dprintler lets you order a 3D print via chatbot,Are Chatbots Really The Future Of Web Design?
-7.48496E+18,Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry,Visa lança desafio para startups de tecnologia - Startupi,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,IBM makes a big shift into cognitive computing,The new tech talent you need to succeed in digital,Digital Leadership Is Not an Optional Part of Being a CEO
-7.48161E+18,Especialista explica como semente artificial de cana aumenta produtividade,Rede Agricultura de Precisão II,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Inteligência artificial do Google é capaz de descrever imagens | Google Discovery
-7.47437E+18,"Estonia wants to become a 'country as a service' and already has 10,000 virtual residents",JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,A digital crack in banking's business model,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,World's Fastest Growing Open Source Platform Pushes Out New Release,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE"
-7.46357E+18,Google's new translation software is almost as good as human translators,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi
-7.46331E+18,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",The return of the machinery question,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business,Corporate Intrapreneur Summit,The barbell effect of machine learning.
-7.42319E+18,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",My Approach to Mobile Accessibility Testing - Ministry of Testing,5 Asian Trends for 2017,"Google tests a more personalized version of its virtual assistant, Google Now",Top 5 Android Testing Frameworks with Examples,A tougher Turing Test shows that computers still have virtually no common sense
-7.40659E+18,[Bonito] Flutuações em Bonito: escolha a sua!,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Lady Gaga's startup Backplane burns out and sells assets,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Top 5 GCP NEXT breakout sessions on YouTube (so far),The technology behind preview photos
-7.39967E+18,Touch (TV Series 2012-2013),Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,How This Googler Redesigned The Workweek
-7.38719E+18,Angular 2 versus React: There Will Be Blood - Free Code Camp,My favorite people and resources to learn Android programming from,What's the Version of my Deployed Application? - DZone DevOps,UE não dá sossego ao Google. Novo alvo? O AdSense,Creating Your Code Review Checklist - DaedTech,Automate Docker with the Remote API and Ruby
-7.38055E+18,Extreme Style Machines:Using Random Neural Networks to Generate Textures,Amazon founder: A.I.'s impact is,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",A Neural Network that Dreams in Resumes - untapt blog,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",Machine Learning for Designers
-7.3679E+18,Chromebase for meetings makes video-conferencing personal and simple,Google is quietly making progress on one of its most jaw-dropping tech projects,The Competitive Landscape for Machine Intelligence,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",Chrome OS now has Material Design for the desktop,Terms Aggregation in Elastic Search
-7.35063E+18,FH fecha contrato de OEM com SAP para entrega de soluções de e-commerce,Citroën lança e-commerce de carros,O IPO é a saída para a Netshoes?,Unilever cria e-commerce para lojas de bairro | EXAME.com,TrustedCompany anuncia novo produto no Fórum E-commerce Brasil 2016,Alibaba quebra recorde de vendas no Dia dos Solteiros - e-commerce
-7.34972E+18,"Facebook ditches Bing, 800M users now see its own AI text translations",Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Infographic Dutch Fintech Scene - HollandFintech.com,Marketplace,America's allies are preparing for a bumpy ride,Startup uses deep learning to let you shop for items by snapping photos
-7.3426E+18,Docker 1.12: Now with Built-in Orchestration!,The Netflix Tech Blog: Netflix Billing Migration to AWS,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,Decentralizing IoT networks through blockchain,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
-7.33139E+18,Here's proof that Google is getting serious about battling Facebook in a key area,"Amazon goes open source with machine-learning tech, competing with Google's TensorFlow - GeekWire",Machine Learning for Designers,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing","Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
-7.32274E+18,Facebook testa dividir conteúdos da rede por temas,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object","Carros de luxo em alta, mas o alerta está aceso","Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'","Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Google is quietly recording everything you say. Here's how to hear it
-7.29816E+18,"How Reporters Pulled Off the Panama Papers, the Biggest Leak in Whistleblower History",Kubernetes,Aggregations,"Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api",Docker inside docker and overview about Jenkins 2,Build Zappos like faceted navigation with ElasticSearch
-7.29472E+18,Usando o git add interativo,The Ten Commandments of Egoless Programming,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Nintendo to Release Mini NES with 30 Pre-Loaded Games in November!,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Elasticsearch: CSV exporter for Kibana Discover
-7.27394E+18,Inteligência artificial do Google aprende a aprimorar fotos como nos filmes | Google Discovery,Research from VLDB 2016: Improved Friend Suggestion using Ego-Net Analysis,Pixelated photos and licence plates can be unblurred using artificial intelligence,Introducing the Open Images Dataset,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Monitorando Aplicações PHP com Prometheus
-7.26422E+18,Qual é o valor da área de T&D na sua empresa?,What Millennials Want from a New Job,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,"Three cultures, three continents and three lessons on leadership",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas
-7.2172E+18,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Savage Love Letter of the Day: Get Out There and Fight,Write Like You Talk,"No dia das mães, Avon lança campanha com mãe de jovem gay",Introducing Ask a Female Engineer
-7.21511E+18,Announcing updates to Google's Internet of Things platform: Android Things and Weave,UE não dá sossego ao Google. Novo alvo? O AdSense,What's the Version of my Deployed Application? - DZone DevOps,Android Studio 2.0 | Android Developers Blog,Why 2016 is shaping up to be the Year of the Bot,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones
-7.19523E+18,Fazer coisas acontecerem: Os 3 Mindsets que te ajudarão,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,TI Bimodal? Receita para o desastre...,Chatbots are revolutionizing customer support,Gartner Hype Cycle for Digital Marketing and Advertising
-7.19161E+18,Introducing the Open Images Dataset,Mimo baby monitor helps parents get more sleep,Eclipse Foundation Releases Neon,Kubernetes,The Competitive Landscape for Machine Intelligence,Get ready for Google I/O 2016
-7.1746E+18,Learning at the speed of business,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm
-7.16926E+18,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Comprar roupas está ficando fora de moda no Reino Unido,[Retro] Celebration Grids - Management 3.0,Serious Business: Should Renewable Energy Continue Receiving Government Subsidies?,Google now uses machine learning to make reading comics on phones easier,The new 64-bit Orange Pi is a quad-core computer for $20
-7.16257E+18,Chatbots: Are they better without the chat?,Dinheiro pode sair de circulação na Suécia até 2030,Failing model: Plastic Card + App and Card + Wallet Players?,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,35 Innovative and Inspirational Website Designs in Banking,Accenture Launches Content Studio
-7.13043E+18,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Coder | Drupal.org,Suzana Herculano-Houzel deixa o Brasil e expõe problemas profundos da ciência no país,Release Day: Extend Drupal 8 with Plugins,Testing a new Drupal 8 installation with 2 Docker commands
-7.12652E+18,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Using TensorFlow and JupyterHub in Classrooms,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Ray Kurzweil Predicts Three Technologies Will Define Our Future,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Wide & Deep Learning: Better Together with TensorFlow
-7.12434E+18,How Etsy Does Continuous Integration for Mobile Apps,"Docker - Build, Ship, and Run Any App, Anywhere",Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,"DevOps security requires new mindset and tools for visibility, automation",6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor
-7.12037E+18,É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,Taco Bell chega ao Brasil no segundo semestre desse ano,[Books] Biblioteca FIXE: Sugestões de Leitura,Portal Mercado & Consumo,Operator fuses bots with humans to build cyborg shopping experts,Top 10 Hot Artificial Intelligence (AI) Technologies
-7.11316E+18,Arquitetura de Microserviços habilitando APIs - Sensedia,Using Microservices Architecture as API Enablement Strategy,Communication patterns in a Microservice world,How to build cross-platform mobile apps using nothing more than a JSON markup,Hype Driven Development,Snapchat shares security best practices for running on GCP
-7.08298E+18,Why your wallet is becoming the next platform,Number26 raises another $40 million for its vision for the future of banking,Conversational Banking; from branches to bots. - Chatbots Magazine,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,"Amazon looking to buy Capital One? "" Banking Technology",Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais
-7.07808E+18,O seu conteúdo está preparado para as duas internets?,TEDxSãoPaulo,Game Of Thrones e suas lições de liderança | Endeavor Brasil,How Green Was My Valley (1941),"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-7.04745E+18,Plano nacional de ''internet das coisas'' sai em fevereiro,Scrum Community - Scrum Alliance,"Little girls doubt that women can be brilliant, study shows",Saying �� to Allo and Duo: new apps for smart messaging and video calling,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",SIG Combibloc lança campanha para Américas e consolida sua proposta de valor
-7.04321E+18,Google Cloud Datastore gets faster cross-platform API,Google's official Project Wing logo revealed,"Google I/O: Expect A.I., virtual reality",What SWAG will Google I/O 2016 attendees take home?,Grow fast or die slow: Focusing on customer success to drive growth,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic"
-7.00954E+18,[Books] Biblioteca FIXE: Sugestões de Leitura,Taco Bell chega ao Brasil no segundo semestre desse ano,[Videos] Bill Gross: The single biggest reason why startups succeed,"Facebook lança Workplace, versão da rede social para empresas",Top 10 Hot Artificial Intelligence (AI) Technologies,Operator fuses bots with humans to build cyborg shopping experts
-6.99929E+18,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,State of Drupal 2016 survey | Dries Buytaert,Meet Aquifer: A build system for easier Drupal development,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Cross-channel user experiences with Drupal,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia
-6.99328E+18,Everything you need to know about the big changes coming to Newark airport,"A sneak peek at Google's upcoming travel app, Trips","Google's head of advertising talks ad blocking, mobile and micropayments",Manhattan CRE prices spark a mass exodus of startups to Brooklyn,"Google CEO: Mobile will fade, AI will rise",How to Get a Job at Google
-6.98002E+18,Cross-channel user experiences with Drupal,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?,An overview of web service solutions in Drupal 8,NOW NEW NEXT: How growth champions create new value,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
-6.96814E+18,Financial services firm processes 25 billion stock market events per hour with Google Cloud Bigtable,Google researchers teach AIs to see the important parts of images - and tell you about them,Andrew Ng: What AI Can and Can't Do,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen",Why Google App Engine rocks: A Google engineer's take,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera"
-6.94122E+18,Amazon now has a programmable Dash Button for the IoT,Adobe quer potencializar área de marketing digital - Meio & Mensagem,Adobe CQ/Adobe AEM,This is the scientific reason we're addicted to our phones,Webinar Salesforce - Best Practices for Advanced Lightning Apps,How bot-to-bot could soon replace APIs
-6.94092E+18,"Digital manufacturing could eliminate warehouses, create on-demand production",Startup uses deep learning to let you shop for items by snapping photos,Taco Bell chega ao Brasil no segundo semestre desse ano,Portal Mercado & Consumo,[Books] Biblioteca FIXE: Sugestões de Leitura,Top 10 Hot Artificial Intelligence (AI) Technologies
-6.94066E+18,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,The AI business landscape,Teaching machines to predict the future,These gloves can convert sign language into spoken English
-6.93244E+18,The new 64-bit Orange Pi is a quad-core computer for $20,The Skills You'll Need and the Salary You Can Expect as a Data Scientist,"New functional programming language can generate C, Python code for apps",Million Song Dataset | scaling MIR research,Chrome OS now has Material Design for the desktop,Elastic Stack 5.0.0 Released
-6.90274E+18,Adobe CQ/Adobe AEM,Adobe quer potencializar área de marketing digital - Meio & Mensagem,This is the scientific reason we're addicted to our phones,Webinar Salesforce - Best Practices for Advanced Lightning Apps,Amazon now has a programmable Dash Button for the IoT,How bot-to-bot could soon replace APIs
-6.89311E+18,Learn TypeScript in 30 Minutes,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",12 JavaScript Hacks,O homofóbico dentro de cada um,15 Interesting JavaScript and CSS Libraries for September 2016,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas"
-6.88434E+18,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Good developers take breaks * Greetings Programs,Bash on Ubuntu on Windows - Download Now!,Steak Tartare com Salada Verde,Simples assim
-6.87812E+18,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object","Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Making open source data more available,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Cloud Storage Goes Mainstream: Storj Launches Beta Joining Azure BaaS
-6.87255E+18,My experience with Google's Associate Android Developer Certification,Why Learning Angular 2 Was Excruciating,What DeepMind brings to Alphabet,20 Awesome PHP Libraries For Early 2017,Using DiffUtil in Android RecyclerView,Microsoft's Open Source Love Affair Reaches New Heights
-6.86314E+18,State of Drupal 2016 survey | Dries Buytaert,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,An overview of web service solutions in Drupal 8,Dries Buytaert,"There will be a Drupal 9, and here is why"
-6.85867E+18,Chat Smarter with Allo,Google's Cloud Investments are Finally Starting to Pay Off,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!,"Every shot Kobe Bryant ever took. All 30,699 of them","Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters"
-6.85824E+18,Get ready for Google I/O 2016,Scalable Microservices with Kubernetes | Udacity,Artificial intelligence is changing SEO faster than you think,Are Chatbots Really The Future Of Web Design?,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,5 open-source alternatives to Slack
-6.8519E+18,Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,Support your Gmail users more easily with revamped bounce messages and message headers,Google releases keyboard for the iPhone with built-in search features,Aplicação de visão computacional com OpenCV,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery
-6.85143E+18,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Testing a new Drupal 8 installation with 2 Docker commands,This Battery-Free Computer Sucks Power Out Of Thin Air,Bot da Chevrolet te ajuda a alcançar as resoluções de ano novo,Micro Profile JavaEE com Wildfly Swarm,Shopping em BH terá fazenda urbana de 2.700 m²
-6.84305E+18,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Learn TypeScript in 30 Minutes,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery","Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",Testing a new Drupal 8 installation with 2 Docker commands
-6.84086E+18,Este texto do Ranieri é a melhor coisa que você lerá hoje,Hintjens.com,"Ciesp-Campinas e Lean Institute Brasil fazem evento gratuito sobre ""lean para superar a crise"" em Campinas",How to use Docker to run ASP.NET Core apps on Google App Engine,DBA BRASIL no INTEROPMIX 2016,Will blockchain drive the fourth Industrial Revolution?
-6.83688E+18,Best of CES 2017: The Show's 10 Coolest Designs,"Facebook sends a loud message about Messenger bots, but will we hear it?",O RH chega ao board,Terms Aggregation in Elastic Search,Hiri wants to fix the workplace email problem,How the Communicator's Dilemma Made a 'Slack-lash' Inevitable
-6.82945E+18,Windows Server 2016 will come with commercial support for Docker Engine,Kit de sensor BLE alimentado por energia solar,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,"STEMTera, uma protoboard com Arduino Uno embutido",Contêiner do Windows no Windows 10,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems"
-6.82024E+18,Goodbye accountants! Startup builds AI to automate all your accounting,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Apple and Google Are Teaming Up to Kill Robocalls Forever,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Honda: mulheres já respondem por 50% das vendas via consórcio,Creating value in auto finance with vLendRight | Kevin Moseri
-6.81487E+18,Million-dollar babies,Good Software Takes Ten Years. Get Used To it.,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Behind Facebook Messenger's plan to be an app platform,Aggregations,TechCrunch launches a personalized news recommendations bot on Facebook Messenger
-6.8107E+18,"diagramas para entender, criar, inovar e empreender: 3",Corporate Intrapreneur Summit,Python Eats Into R as SAS Dominance Fades,The return of the machinery question,"Meet Articoolo, the robot writer with content for brains","Salesforce buys Demandware for $2.8B, taking a big step into e-commerce"
-6.81025E+18,[Tools] Universities should ban PowerPoint - It makes students stupid and professors boring,"[Tools] Personal Kanban in ""Favro""",Lady Gaga's startup Backplane burns out and sells assets,Top 5 GCP NEXT breakout sessions on YouTube (so far),[Security] How to Set Expiration Dates for Shared Google Drive Files,Evernote anuncia integração com Google Drive | Google Discovery
-6.79806E+18,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Create a Slack Bot to Interact with Your Wiki,Introducing Mini Courses with MS Chatbots,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Google lança YouTube Kids no Brasil | Google Discovery,Announcing Docker Hub Classic
-6.79297E+18,Dial in with ease using the latest Google Calendar app for Android,Google moves to replace Flash with HTML5,Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",New ways to keep data flowing between your apps and ours,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery
-6.78377E+18,Livro: Retrospectivas Divertidas,Lessons from Becoming a Data-Driven Organization,A Technical Primer On Causality,Stop Trying to Sound Smart When You're Writing,Mastering Software Development in R · Simply Statistics,"The future of machine learning: 5 trends to watch around algorithms, cloud, IoT, and big data - GeekWire"
-6.77829E+18,The Future of Business is Design,Inception (2010),"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Accept questions from your audience when presenting in Google Slides,Building a technical career path at Spotify,"Microsoft adquire LinkedIn por US$ 26,2 bilhões"
-6.77294E+18,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Android Developers Summer Reading List,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,The Business Case for Progressive Web Apps,Uber's first self-driving cars will start picking up passengers this month
-6.76587E+18,10 Simple Habits of Insanely Productive People,"Tenho várias ideias de negócios, qual devo levar adiante?","Celular se torna principal meio de acesso à internet nos lares, diz IBGE",World's Fastest Growing Open Source Platform Pushes Out New Release,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js
-6.76116E+18,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"Facebook says 10K+ developers are building chatbots, analytics coming",Accenture and Adboe team on customer enegagement,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Global Data Bank é lançado internacionalmente com operação no Brasil,Blockchain Will Be Used By 15% of Big Banks By 2017
-6.75246E+18,"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle",3Dprintler lets you order a 3D print via chatbot,Conversational Banking; from branches to bots. - Chatbots Magazine,"Amazon looking to buy Capital One? "" Banking Technology",Engineering Digital Banking Solutions Using UX Methodology,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
-6.73996E+18,Introduction To Chatbots,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,Pury - New Way to Profile Your Android Application,Tasting Dagger 2 on Android,Duolingo's chatbots help you learn a new language,Stop Trying to Sound Smart When You're Writing
-6.73493E+18,Android Quickstart - Firebase,World's Fastest Growing Open Source Platform Pushes Out New Release,"Android N Developer Preview 2, out today! | Android Developers Blog","Celular se torna principal meio de acesso à internet nos lares, diz IBGE",10 Simple Habits of Insanely Productive People,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js
-6.72884E+18,Seniority,When to make a Git Commit,Dries Buytaert,"Why Performance Matters, Part 3: Tolerance Management - Smashing Magazine",How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Announcing pricing for Google Stackdriver
-6.72736E+18,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Apple acquires Turi, a machine learning company",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule,Event Map For Google I/O 2016 Released
-6.72669E+18,Steak Tartare com Salada Verde,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Good developers take breaks * Greetings Programs,Bash on Ubuntu on Windows - Download Now!,Simples assim
-6.7137E+18,Solidity Available in Visual Studio - Ethereum Blog,The Progress of Web Apps - On the Edge,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,React Native v0.32.0-rc.0 released,TypeScript 2.0 is now available!
-6.70747E+18,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,State of Drupal 2016 survey | Dries Buytaert,An overview of web service solutions in Drupal 8,Dries Buytaert,"There will be a Drupal 9, and here is why",Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8
-6.7046E+18,Introducing Google Consumer Surveys API: Let users of your app create surveys,New settings for 2-Step Verification,"Big data, big differentiators: this week on Google Cloud Platform",Here's how Evernote moved 3 petabytes of data to Google's cloud,"Cloud Shell now GA, and still free","Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
